numlines	12																		
lineNames	Finch	Reese	Carter	Fusco	Root	Shaw	Bear	HR	Vigilance	Decima	ISA	Elias							
lineColors	gold	gray	blue	brown	black	olive	darkGoldenRod	navy	tomato	white	royalBlue	tan							
boxColors	yellow	yellow	white	white	yellow	yellow	white	red	red	red	yellow	white							
1													Liberty	description	Salazar, Jack	Rafael	Don		
2													Nothing to Hide	description	Kruger, Wayne				
3													Lady Killer	description	Murphy, Ian				
4													Reasonable Doubt	description	Watkins, Vanessa	Jensen, Rachel			
5													Razgovor	description	Zhirova, Genrika	Mathers, Eric			
6													Mors Praematura	description	Sloan, Timothy				
7													The Perfect Mark	description	Price, Hayden				
8													Endgame	description	HR	Russian Mafia			
9													The Crossing	description	*Reese, John				
10													The Devil's Share	description	Simmons, Patrick				
11													Lethe	description	Claypool, Arthur				
12													Aletheia	description	Claypool, Arthur				
13													4C	description	Matthews, Owen				
14													Provenance	description	*Lin, Kelli	Lin, Jiao			
15													Last Call	description	Nicholson, Sandra				
16													RAM	description	Casey, Daniel				
17													/	description	Wells, Cyrus				
18													Allegiance	description	Martinez, Maria				
19													Most Likely To...	description	Reed, Matthew	Wainwright, Leona			
20													Death Benefit	description	McCourt, Roger	Ray	Julio		
21													Beta	description	Hendricks, Grace	Ricky			
22													A House Divided	description	*Control	*Greer, John	Garrison, Ross	Rivera, Manuel	Holcombe, Kyle
23													Deus Ex Machina	description	*Control	*Greer, John	Garrison, Ross	Rivera, Manuel	
